OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
110,BONAI-NOAMUNDI-JAMDA BELT,KARAMPADA,ORISSA,73 G,Fe(Hematite),493.5 M.TONNES,58%-62% Fe,"BHQ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
292,NOAMUNDI-JAMDA SECTOR,SARKUNDA,ORISSA,73 G,Mn(Fe),"142,500 TONNES",MEDIUM GRADE,METASEDIMENTS-METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,IRON OREGROUP
105,BONAI-BADAMPAHAR BELT,KALTA,ORISSA,73 G,Fe(Hematite)-Mn,461.3 M.TONNES,59%-65% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
108,BONAI-KEONJHAR RANGE BELT,NAOGOWN,ORISSA,73 G,Fe(Hematite),8.08 M.TONNES,63% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
237,,RANIRAKOCHA-JUNOA,JHARKHAND,73,Cr,,30%-40% Cr2O3,GELATINOUS AND TALCOSE ULTRAMAFIC,PODIFORM,IRON ORE GROUP
111,BONAI-NOAMUNDI-JAMDA PROVINCE,AJITBURU MINES,JHARKHAND,73,Fe(Hematite),12.99 M.TONNES,59%-61% Fe,"BHQ,SHALE-INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
104,BONAI-BADAMPAHAR BELT,"FULIHARI,KURMITAR,SILJORA",ORISSA,73 G,Fe(Hematite),28.42 %TONNES,+58.0% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
45,ADASH RAIMAL BELT,ADASH,ORISSA,73C,Cu,0.93 MILLION TONNES (M.TONNES),1.46% Cu (150 M R.L),"KHONDALITE,CHARNOCKITE,AMPHIBOLITE",IN SILICIFIED METABASITE,EASTERN GHAT Sgp.
92,BAULA-NAUSAHI BELT,PHULIJORHA,ORISSA,73 K,Cr (PGM),0.07 M.TONNES,+ 45% Cr203,"PYROXENITE,PERIDOTITE,SERPENTINITE",STRATIFORM-MAGMATIC,
91,BAULA-NAUSAHI BELT,BANGAR,ORISSA,73 K,Cr,0.86 M.TONNES,48%-58% Cr203,ULTRAMAFIC,CONCORDANT-MAGMATIC,
90,BAULA-NAUSAHI BELT,BAULA-NAUHASI BLOCK,ORISSA,73 K,Cr - PGE,2.471 M.TONNES,37.75% Cr203(AVERAGE),ULTRAMAFICS,PODIFORM-ALPINE TYPE,ULTRAMAFICS
162,EAST COAST PROVINCE,ANAMINI PARBAT,ORISSA,65 M,Al (Bauxite),30.0 M.TONNES,45% Al203,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
176,EASTERN GHAT BELT,DEVADA,ANDHRA PRADESH,65 N,Mn,"96,502 TONNES",26%-38% Mn,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.
178,EASTERN GHAT BELT,NISHIKHAL,ORISSA,65 M,Mn,"335,100 TONNES",25%-30% Mn,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.
169,EAST COAST PROVINCE,KATHAKHAL-MANJIMLI,ORISSA,65 M,Al (Bauxite),20 M.TONNES,46% AI2O3,CAPPING ON CHARNOKITE/GNE1SSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
170,EAST COAST PROVINCE,KISANWALI,ORISSA,65 M,Al (Bauxite),13.28 M.TONNES,46% Al203,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
171,EAST COAST PROVINCE,KODINGAMALI,ORISSA,65 M,Al (Bauxite),91.4 M.TONNES,46% Al203,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
159,EAST COAST PROVINCE,KARNAPODIKONDA,ANDHRA PRADESH,65 N,Al (Bauxite),17 M.TONNES,48% AI2O3,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
160,EAST COAST PROVINCE,SIJIMALI,ORISSA,65 M,Al (Bauxite),86 M.TONNES,42% Al203,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
174,EAST COAST PROVINCE,SASBOHUMALI-PASANGMALI,ORISSA,65 M,Al (Bauxite),78 M.TONNES,46% Al2O3,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
168,EAST COAST PROVINCE,KARLAPAT,ORISSA,65 I,AI (Bauxite),67 M.TONNES,55% Al2O3,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.
